size,stones,score_komi,score_neural,winrate_komi
9,BA1 WA9,6.0,6.05958037,0.555238084
9,BA1 WB2,-1.0,-0.923449878,0.467753942
9,BA1 WB3,-3.0,-2.47603226,0.525008011
9,BA1 WB4,-4.0,-3.93114897,0.441468573
9,BA1 WB5,-4.0,-4.30767594,0.458259812
9,BA1 WB6,-4.0,-3.70744195,0.455095517
9,BA1 WB7,-3.0,-2.34164772,0.540482769
9,BA1 WB8,-1.0,-0.589027265,0.532911879
9,BA1 WB9,2.5,2.01064356,0.490661877
9,BA1 WC3,-5.0,-4.3543123,0.495299279
9,BA1 WC4,-6.0,-6.00378683,0.516343258
9,BA1 WC5,-6.5,-6.11747222,0.502230075
9,BA1 WC6,-6.0,-5.8418343,0.512502029
9,BA1 WC7,-5.0,-4.51539858,0.529970126
9,BA1 WC8,-3.0,-2.31418924,0.529625881
9,BA1 WC9,2.0,1.59870895,0.518291191
9,BA1 WD4,-7.0,-6.44094145,0.560270657
9,BA1 WD5,-7.0,-6.74261424,0.547735807
9,BA1 WD6,-7.0,-6.52698107,0.545073406
9,BA1 WD7,-6.0,-5.83376528,0.507370029
9,BA1 WD8,-4.0,-3.80626215,0.455181771
9,BA1 WD9,1.0,0.87913889,0.54675402
9,BA1 WE5,-6.5,-6.44110719,0.448691562
9,BA1 WE6,-7.0,-6.73401154,0.559300941
9,BA1 WE7,-6.5,-5.97215215,0.536372226
9,BA1 WE8,-4.5,-4.32441841,0.513511853
9,BA1 WE9,1.0,0.589100465,0.499236139
9,BA1 WF6,-7.0,-6.27290727,0.561157362
9,BA1 WF7,-6.0,-5.89261313,0.529896687
9,BA1 WF8,-4.0,-3.77345068,0.460420219
9,BA1 WF9,1.5,0.902379067,0.454501718
9,BA1 WG7,-5.0,-4.42090747,0.537108315
9,BA1 WG8,-3.0,-2.43276384,0.52441928
9,BA1 WG9,2.0,1.63313335,0.533937418
9,BA1 WH8,-0.5,-0.515833191,0.462393613
9,BA1 WH9,2.5,2.10007093,0.487889037
9,BA1 WJ9,6.5,6.11925344,0.446405399
9,BA2 BA3,0.5,0.544904712,0.50307583
9,BA2 BA4,2.0,1.94914776,0.501187889
9,BA2 BA5,2.5,2.51503764,0.466393326
9,BA2 BA6,2.0,2.10667309,0.507651294
9,BA2 BA7,1.5,1.25588245,0.447400219
9,BA2 BA8,0.5,0.759303875,0.532339191
9,BA2 BB1,0.0,-0.019936472,0.441599133
9,BA2 BB2,1.5,1.69504951,0.530402982
9,BA2 BB3,4.5,4.6333233,0.456690284
9,BA2 BB4,6.0,6.68536384,0.530293372
9,BA2 BB5,6.5,7.80927625,0.528237726
9,BA2 BB6,6.5,7.5110705,0.523643827
9,BA2 BB7,5.5,6.34440135,0.493742996
9,BA2 BB8,4.0,4.45905299,0.509620695
9,BA2 BB9,0.5,0.857114904,0.558855361
9,BA2 BC1,0.5,0.626047046,0.524368445
9,BA2 BC2,5.0,5.42415501,0.546687551
9,BA2 BC3,6.5,7.06719511,0.491825594
9,BA2 BC4,8.0,8.60288823,0.461048409
9,BA2 BC5,9.0,9.17269232,0.478914401
9,BA2 BC6,8.5,9.301476,0.54357677
9,BA2 BC7,7.5,8.35805414,0.493965163
9,BA2 BC8,5.5,6.06062369,0.494369844
9,BA2 BC9,1.0,0.972439806,0.527257339
9,BA2 BD1,1.5,1.58051092,0.544142763
9,BA2 BD2,6.0,6.80366345,0.491386138
9,BA2 BD3,8.0,8.676795,0.505926674
9,BA2 BD4,8.5,9.31400649,0.537406478
9,BA2 BD5,9.5,9.70898036,0.449918023
9,BA2 BD6,9.5,10.132449,0.540765194
9,BA2 BD7,9.0,9.29091853,0.461427911
9,BA2 BD8,6.0,7.31924729,0.543910879
9,BA2 BD9,2.0,1.78952947,0.496100052
9,BA2 BE1,2.5,2.26021484,0.452145106
9,BA2 BE2,7.0,7.82550375,0.459292451
9,BA2 BE3,9.0,9.13903462,0.451202176
9,BA2 BE4,9.0,9.77245474,0.498988097
9,BA2 BE5,10.0,10.7527454,0.546613324
9,BA2 BE6,10.5,10.7186168,0.470703903
9,BA2 BE7,9.0,9.50402776,0.490899532
9,BA2 BE8,7.5,8.08279139,0.440402088
9,BA2 BE9,2.5,2.33439834,0.478496678
9,BA2 BF1,2.0,1.99092657,0.500469736
9,BA2 BF2,6.5,7.42602673,0.513745439
9,BA2 BF3,8.5,9.21491955,0.550761106
9,BA2 BF4,9.5,9.8935824,0.535563078
9,BA2 BF5,10.0,10.6242533,0.535305147
9,BA2 BF6,10.0,10.2755751,0.450343063
9,BA2 BF7,9.0,9.63577018,0.511991861
9,BA2 BF8,7.0,7.76453411,0.462496679
9,BA2 BF9,2.0,2.09666222,0.546829487
9,BA2 BG1,1.5,1.40693691,0.458950396
9,BA2 BG2,5.5,6.27552764,0.516327274
9,BA2 BG3,7.5,8.3904352,0.501736219
9,BA2 BG4,9.0,9.33438061,0.482862105
9,BA2 BG5,9.0,9.69721153,0.51363315
9,BA2 BG6,9.0,9.78817644,0.482528957
9,BA2 BG7,8.0,8.59448339,0.48480871
